outer_fold,SubjectNumber,inner_cv_rmse,alpha,gamma,fit_seconds,subset_id
34,43,1.393676188125471,0.01,0.003,0.9067699579754844,groups_011111
35,44,1.3712249105544954,0.01,0.003,0.8937579999910668,groups_011111
36,45,1.3746795744481166,0.01,0.003,0.906015416025184,groups_011111
37,46,1.3850858954387646,0.01,0.003,0.9125727089121938,groups_011111
38,49,1.3810714580339054,0.01,0.003,0.9081069579115136,groups_011111
39,50,1.371272993026674,0.01,0.003,0.8992780420230702,groups_011111
40,51,1.3758924061275128,0.01,0.003,0.8938612500205636,groups_011111
41,52,1.384934077859003,0.01,0.003,0.9068793751066552,groups_011111
42,53,1.3510682086289665,0.01,0.003,0.8915380409453064,groups_011111
43,54,1.3746878527116526,0.01,0.003,0.9156849170103668,groups_011111
44,55,1.3791280116138462,0.01,0.003,0.91466970811598,groups_011111
45,56,1.3727945922276257,0.01,0.003,0.8960580839775503,groups_011111
46,58,1.3979525315141257,0.01,0.003,0.9129602910252288,groups_011111
47,59,1.402678506875925,0.01,0.003,0.9063603749964386,groups_011111
48,60,1.3951607842382932,0.01,0.003,0.8955749169690534,groups_011111
49,101,1.4112659038443511,0.01,0.003,0.9541269580367951,groups_011111
50,102,1.421674270125764,0.01,0.003,0.9010884170420468,groups_011111
51,104,1.4643529815761631,0.0031622776601683,0.001,0.9084529579849914,groups_011111
52,106,1.463884332387395,0.01,0.003,0.907511832891032,groups_011111
53,108,1.4415758990526284,0.0031622776601683,0.001,0.9081828339258208,groups_011111
54,109,1.4246524224968755,0.0031622776601683,0.001,0.9183139170054346,groups_011111
55,110,1.4677393555030325,0.01,0.003,0.9104802079964428,groups_011111
56,112,1.4682201704629254,0.01,0.003,0.917368458933197,groups_011111
57,113,1.4764469278465198,0.01,0.003,0.907465707976371,groups_011111
58,115,1.4491735188022512,0.01,0.003,0.91103254200425,groups_011111
59,116,1.4293933734385775,0.01,0.003,0.9174364999635144,groups_011111
60,118,1.4342942518954642,0.01,0.003,0.9095060840481892,groups_011111
61,119,1.443117341029542,0.01,0.003,0.9028290000278504,groups_011111
62,120,1.4848459411722768,0.01,0.003,0.9171712909592316,groups_011111
63,121,1.4721671254254016,0.01,0.003,0.8969692499376833,groups_011111
64,122,1.421462768653485,0.01,0.003,0.8987669580383226,groups_011111
65,124,1.456464007853224,0.01,0.003,0.8992222500964999,groups_011111
66,125,1.4561686099464957,0.01,0.003,0.9078723749844356,groups_011111
67,126,1.4498442555664754,0.01,0.003,0.8983586250105873,groups_011111
68,127,1.4558674183842155,0.01,0.003,0.8985342090018094,groups_011111
69,129,1.458768725527695,0.01,0.003,0.9037374159088358,groups_011111
70,130,1.4283130222387477,0.01,0.003,0.9074247090611608,groups_011111
71,133,1.4437527616067547,0.01,0.003,0.9421857499983162,groups_011111
72,135,1.4452398933596833,0.01,0.003,0.9096199170453474,groups_011111
73,137,1.4121591649266556,0.001,0.001,0.915242167073302,groups_011111
74,138,1.4741579367730453,0.001,0.001,0.912039874936454,groups_011111
75,139,1.513765698746818,0.01,0.003,0.915637083002366,groups_011111
76,140,1.5103274781844085,0.01,0.003,0.9176433749962598,groups_011111
77,141,1.5019243494349297,0.01,0.003,0.914379374939017,groups_011111
78,142,1.4978046486146783,0.01,0.003,0.9171770840184764,groups_011111
79,144,1.4859779349255686,0.01,0.003,0.9120846670120956,groups_011111
80,145,1.49878966947849,0.01,0.003,0.9158422909677028,groups_011111
81,146,1.5143381684231485,0.01,0.003,0.9183998750522732,groups_011111
82,147,1.5092341006398633,0.0316227766016837,0.01,0.9244822920300066,groups_011111
83,148,1.489863060418271,0.001,0.001,0.915241959039122,groups_011111
84,149,1.5062882663512982,0.01,0.003,0.9047311249887572,groups_011111
85,150,1.5055935852322992,0.01,0.003,0.907732916995883,groups_011111
86,151,1.507301269353877,0.01,0.003,0.9082409580005332,groups_011111
87,153,1.510905249145157,0.0316227766016837,0.01,0.9159466249402612,groups_011111
88,154,1.501693971403775,0.001,0.001,0.9112352500669658,groups_011111
89,158,1.5079260104947438,0.001,0.001,0.9112214170163496,groups_011111
90,160,1.5218484389734772,0.01,0.003,0.907873582909815,groups_011111
91,165,1.464525019366177,0.0031622776601683,0.003,0.915947249974124,groups_011111
92,166,1.463309377497104,0.0031622776601683,0.003,0.963490084046498,groups_011111
93,167,1.494741725864832,0.0031622776601683,0.003,0.9198849579552189,groups_011111
94,169,1.4860044467364038,0.01,0.003,0.9142411249922588,groups_011111
95,170,1.4899235750032198,0.01,0.003,0.9373652080539614,groups_011111
96,171,1.486371922786659,0.01,0.003,0.9158146670088172,groups_011111
97,172,1.487220462027664,0.01,0.003,0.9154173749266192,groups_011111
98,173,1.4837782508938702,0.01,0.003,0.9264788329601288,groups_011111
99,174,1.48860173767379,0.01,0.003,0.91328999993857,groups_011111
100,176,1.495652449568586,0.01,0.003,0.9068055000388996,groups_011111
101,178,1.4993359510916322,0.01,0.003,0.92504674999509,groups_011111
102,181,1.4745756409844175,0.01,0.003,0.9026760830311104,groups_011111
103,183,1.4791348395626682,0.01,0.003,0.9016509579960256,groups_011111
104,185,1.4577551481295068,0.01,0.003,0.9127937089651824,groups_011111
105,186,1.4653041383587435,0.0031622776601683,0.001,0.917664665961638,groups_011111
106,188,1.477160036504556,0.0031622776601683,0.001,0.9164883330231532,groups_011111
107,190,1.476185503109663,0.01,0.003,0.9162827079417184,groups_011111
108,191,1.485756918354167,0.01,0.003,0.9061621249420568,groups_011111
109,192,1.4818463211480766,0.01,0.003,0.914318082970567,groups_011111
110,193,1.483844593910644,0.0031622776601683,0.001,0.9060967499390244,groups_011111
111,195,1.4868748114128008,0.0031622776601683,0.001,0.9098815419711171,groups_011111
112,198,1.4801969117934053,0.01,0.003,0.9067005830584094,groups_011111
113,199,1.4695035292263614,0.0031622776601683,0.001,0.9181095829699188,groups_011111
114,200,1.4756428635747796,0.01,0.003,0.912599042057991,groups_011111
115,201,1.4813324503367378,0.01,0.003,0.9594395409803838,groups_011111
1,1,1.3860294246099625,0.1,0.01,0.8775510839186609,groups_101111
2,2,1.4030175536991192,0.1,0.01,0.9003600840223953,groups_101111
3,3,1.3186611153215384,0.01,0.003,0.8769044169457629,groups_101111
4,5,1.392130334007452,0.1,0.01,0.8896781670628116,groups_101111
5,6,1.3929125330250558,0.1,0.01,0.8875430000480264,groups_101111
6,7,1.4020241885226,0.0316227766016837,0.01,0.890427750069648,groups_101111
7,8,1.38922202439004,0.1,0.01,0.8953007500385866,groups_101111
8,9,1.4053375479313237,0.1,0.01,0.8866229170234874,groups_101111
9,12,1.4263238466620396,0.1,0.01,0.8886484589893371,groups_101111
10,13,1.4057889998443267,0.1,0.01,0.8957184170139953,groups_101111
11,14,1.3937068038748792,0.1,0.01,0.8860409579938278,groups_101111
12,15,1.4162667278688204,0.1,0.01,0.8855525000253692,groups_101111
13,16,1.4116039063610724,0.1,0.01,0.8964927910128608,groups_101111
14,17,1.415986709132026,0.1,0.01,0.8866569999372587,groups_101111
15,18,1.4063616467905302,0.1,0.01,0.8783135000849143,groups_101111
16,19,1.4146299585712467,0.1,0.01,0.8900612499564886,groups_101111
17,21,1.3937890045967598,0.1,0.01,0.8907182919792831,groups_101111
18,22,1.3726690761108442,0.0316227766016837,0.01,0.8917760000331327,groups_101111
19,23,1.4292538759896525,0.1,0.01,0.8930167920188978,groups_101111
20,24,1.4251489536039654,0.1,0.01,0.8848706670105457,groups_101111
21,25,1.4237930477249614,0.1,0.01,0.920554416021332,groups_101111
22,26,1.4364518024402564,0.1,0.01,0.8884487500181422,groups_101111
23,27,1.432663729107408,0.1,0.01,0.891953416983597,groups_101111
24,28,1.4393136436316227,0.1,0.01,0.884590334026143,groups_101111
25,29,1.4374067873994705,0.01,0.003,0.8923344169743359,groups_101111
26,30,1.436131609984792,0.1,0.01,0.8892453339649364,groups_101111
27,32,1.4389347466057507,0.1,0.01,0.8928951249690726,groups_101111
28,34,1.4215033501025538,0.1,0.01,0.8958292080787942,groups_101111
29,36,1.4316894214150258,0.1,0.01,0.8812932909931988,groups_101111
30,37,1.4247479278080797,0.1,0.01,0.892177207977511,groups_101111
31,38,1.416407075995052,0.1,0.01,0.8925598330097273,groups_101111
32,40,1.4249000215346304,0.1,0.01,0.8992340830154717,groups_101111
33,41,1.4133209773981288,0.1,0.01,0.884538417099975,groups_101111
34,43,1.4256740538445811,0.1,0.01,0.8804737919708714,groups_101111
35,44,1.3983819234664834,0.01,0.003,0.8933248750399798,groups_101111
36,45,1.4209820225658556,0.1,0.01,0.9113970829639584,groups_101111
37,46,1.4211000523423272,0.1,0.01,0.8945232920814306,groups_101111
38,49,1.416737093300718,0.01,0.003,0.8946173749864101,groups_101111
39,50,1.4216769921535042,0.01,0.003,0.8899582079611719,groups_101111
40,51,1.4187915646419471,0.01,0.003,0.8918430000776425,groups_101111
41,52,1.4280278962855697,0.1,0.01,0.8893814580515027,groups_101111
42,53,1.4208630656323311,0.1,0.01,0.8851752080954611,groups_101111
43,54,1.419475248779719,0.1,0.01,0.8952440830180421,groups_101111
44,55,1.4298985411183942,0.1,0.01,0.9209332499885932,groups_101111
45,56,1.431565474645762,0.1,0.01,0.8953089590650052,groups_101111
46,58,1.471429377113845,0.1,0.01,0.8967823750572279,groups_101111
47,59,1.4672958488486705,0.1,0.01,0.904985083034262,groups_101111
48,60,1.468519773413092,0.1,0.01,0.8987537089269608,groups_101111
49,101,1.48009790063819,0.1,0.01,0.8815805839840323,groups_101111
50,102,1.4670744860850709,0.1,0.01,0.8871799160260707,groups_101111
51,104,1.4755532081245553,0.0316227766016837,0.003,0.8875515420222655,groups_101111
52,106,1.4753723500819458,0.1,0.01,0.8868829580023885,groups_101111
53,108,1.462745965567394,0.1,0.01,0.884303958970122,groups_101111
54,109,1.4583669667900738,0.1,0.01,0.8896493329666555,groups_101111
55,110,1.4667694029433678,0.1,0.01,0.8912350420141593,groups_101111
56,112,1.4727175844707696,0.1,0.01,0.8902666249778122,groups_101111
57,113,1.4917027427762597,0.1,0.01,0.8957707080990076,groups_101111
58,115,1.4786579674149722,0.1,0.01,0.8909285410773009,groups_101111
59,116,1.482789458636256,0.1,0.01,0.8880220829742029,groups_101111
60,118,1.4724311585528156,0.1,0.01,0.8986425830516964,groups_101111
61,119,1.483907464878739,0.1,0.01,0.9272437499603255,groups_101111
62,120,1.4939878635444783,0.1,0.01,0.8990522910607979,groups_101111
63,121,1.4960489486024462,0.1,0.01,0.8867240409599617,groups_101111
64,122,1.4776259176453608,0.1,0.01,0.8823698750929907,groups_101111
65,124,1.481417692115227,0.1,0.01,0.8897951249964535,groups_101111
66,125,1.496173758603923,0.1,0.01,0.91845929203555,groups_101111
67,126,1.4703468072259929,0.1,0.01,0.9068666669772938,groups_101111
68,127,1.4815830429816703,0.1,0.01,0.8965690420009196,groups_101111
69,129,1.4834005758291398,0.1,0.01,0.9030838329344988,groups_101111
70,130,1.4654456002242198,0.1,0.01,0.8866077909478918,groups_101111
71,133,1.470897627908565,0.01,0.003,0.895585208083503,groups_101111
72,135,1.4679728050455525,0.1,0.01,0.8993987910216674,groups_101111
73,137,1.4434298737819935,0.01,0.003,0.934886584058404,groups_101111
74,138,1.4623920373010668,0.01,0.003,0.8956050840206444,groups_101111
75,139,1.4962378626342607,0.1,0.01,0.8983010419178754,groups_101111
76,140,1.4930051990609563,0.1,0.01,0.8924187500961125,groups_101111
77,141,1.4887903564431224,0.1,0.01,1.051359000033699,groups_101111
78,142,1.4942972031993569,0.1,0.01,1.2278817920014262,groups_101111
79,144,1.4118497385054327,0.1,0.01,1.075380333000794,groups_101111
80,145,1.484510842833329,0.1,0.01,0.9589815000072122,groups_101111
81,146,1.5302558682664482,0.1,0.01,0.9836261250311508,groups_101111
82,147,1.5417240159728094,0.1,0.01,1.0628312909975648,groups_101111
83,148,1.5093410728397751,0.1,0.01,1.0056844999780878,groups_101111
84,149,1.532104778800015,0.1,0.01,0.988434624974616,groups_101111
85,150,1.515778122367152,0.1,0.01,0.911560333915986,groups_101111
