fit_role,loo_position,sample_id,n_fit_observations,inner_cv_rmse,fit_seconds,best_parameters,model__regressor__alpha,model__regressor__gamma
leave_one_out,67.0,127.0,114,1.464818879154867,0.8833593749441206,"{'model__regressor__alpha': 0.01, 'model__regressor__gamma': 0.003}",0.01,0.003
leave_one_out,68.0,129.0,114,1.4699839438626452,0.8965743749868125,"{'model__regressor__alpha': 0.01, 'model__regressor__gamma': 0.003}",0.01,0.003
leave_one_out,69.0,130.0,114,1.4352245433681332,0.8982804579427466,"{'model__regressor__alpha': 0.01, 'model__regressor__gamma': 0.003}",0.01,0.003
leave_one_out,70.0,133.0,114,1.44720623784066,0.8951327920658514,"{'model__regressor__alpha': 0.01, 'model__regressor__gamma': 0.003}",0.01,0.003
leave_one_out,71.0,135.0,114,1.4526183245624382,0.8946799580007792,"{'model__regressor__alpha': 0.01, 'model__regressor__gamma': 0.003}",0.01,0.003
leave_one_out,72.0,137.0,114,1.4139886424292345,0.9025785829871893,"{'model__regressor__alpha': 0.001, 'model__regressor__gamma': 0.001}",0.001,0.001
leave_one_out,73.0,138.0,114,1.481682935791876,0.9074729999992996,"{'model__regressor__alpha': 0.001, 'model__regressor__gamma': 0.001}",0.001,0.001
leave_one_out,74.0,139.0,114,1.517545648206175,0.90059187496081,"{'model__regressor__alpha': 0.01, 'model__regressor__gamma': 0.003}",0.01,0.003
leave_one_out,75.0,140.0,114,1.5119459190122226,0.9026884579798207,"{'model__regressor__alpha': 0.01, 'model__regressor__gamma': 0.003}",0.01,0.003
leave_one_out,76.0,141.0,114,1.5047870321678192,0.9044272500323132,"{'model__regressor__alpha': 0.01, 'model__regressor__gamma': 0.003}",0.01,0.003
leave_one_out,77.0,142.0,114,1.5035490627672308,0.8825533750932664,"{'model__regressor__alpha': 0.01, 'model__regressor__gamma': 0.003}",0.01,0.003
leave_one_out,78.0,144.0,114,1.4670668272059908,0.8990927919512615,"{'model__regressor__alpha': 0.03162277660168379, 'model__regressor__gamma': 0.003}",0.03162277660168379,0.003
leave_one_out,79.0,145.0,114,1.5349997294821491,0.9098827089183033,"{'model__regressor__alpha': 0.0031622776601683794, 'model__regressor__gamma': 0.001}",0.0031622776601683794,0.001
leave_one_out,80.0,146.0,114,1.5462314836024034,0.9055471669416875,"{'model__regressor__alpha': 0.001, 'model__regressor__gamma': 0.001}",0.001,0.001
leave_one_out,81.0,147.0,114,1.548784129871836,0.8963764999061823,"{'model__regressor__alpha': 0.01, 'model__regressor__gamma': 0.003}",0.01,0.003
leave_one_out,82.0,148.0,114,1.5207234013379005,0.895868125022389,"{'model__regressor__alpha': 0.001, 'model__regressor__gamma': 0.001}",0.001,0.001
leave_one_out,83.0,149.0,114,1.54499736069314,0.8956614579074085,"{'model__regressor__alpha': 0.001, 'model__regressor__gamma': 0.001}",0.001,0.001
leave_one_out,84.0,150.0,114,1.541536521587581,0.9125023329397663,"{'model__regressor__alpha': 0.01, 'model__regressor__gamma': 0.003}",0.01,0.003
leave_one_out,85.0,151.0,114,1.5400760793154833,0.9762554579647258,"{'model__regressor__alpha': 0.01, 'model__regressor__gamma': 0.003}",0.01,0.003
leave_one_out,86.0,153.0,114,1.5468907606967457,0.9083612089743838,"{'model__regressor__alpha': 0.01, 'model__regressor__gamma': 0.003}",0.01,0.003
leave_one_out,87.0,154.0,114,1.5311060157685676,0.8899782499065623,"{'model__regressor__alpha': 0.001, 'model__regressor__gamma': 0.001}",0.001,0.001
leave_one_out,88.0,158.0,114,1.5405415036161605,0.89132262498606,"{'model__regressor__alpha': 0.001, 'model__regressor__gamma': 0.001}",0.001,0.001
leave_one_out,89.0,160.0,114,1.549919277698833,0.9724367910530418,"{'model__regressor__alpha': 0.01, 'model__regressor__gamma': 0.003}",0.01,0.003
leave_one_out,90.0,165.0,114,1.4962188437827943,0.8830189589643851,"{'model__regressor__alpha': 0.001, 'model__regressor__gamma': 0.001}",0.001,0.001
leave_one_out,91.0,166.0,114,1.494788804549931,0.8934305419679731,"{'model__regressor__alpha': 0.001, 'model__regressor__gamma': 0.001}",0.001,0.001
leave_one_out,92.0,167.0,114,1.5297551878779247,0.8877301670145243,"{'model__regressor__alpha': 0.01, 'model__regressor__gamma': 0.003}",0.01,0.003
leave_one_out,93.0,169.0,114,1.518233338604348,0.8926792499842122,"{'model__regressor__alpha': 0.01, 'model__regressor__gamma': 0.003}",0.01,0.003
leave_one_out,94.0,170.0,114,1.52526598721542,0.9033837089082226,"{'model__regressor__alpha': 0.001, 'model__regressor__gamma': 0.001}",0.001,0.001
leave_one_out,95.0,171.0,114,1.524898404546904,0.9045787079958245,"{'model__regressor__alpha': 0.01, 'model__regressor__gamma': 0.003}",0.01,0.003
leave_one_out,96.0,172.0,114,1.5266488586164793,0.8945174169493839,"{'model__regressor__alpha': 0.01, 'model__regressor__gamma': 0.003}",0.01,0.003
leave_one_out,97.0,173.0,114,1.522258998781022,0.8865799580235034,"{'model__regressor__alpha': 0.01, 'model__regressor__gamma': 0.003}",0.01,0.003
leave_one_out,98.0,174.0,114,1.523009800391543,0.891627375036478,"{'model__regressor__alpha': 0.01, 'model__regressor__gamma': 0.003}",0.01,0.003
leave_one_out,99.0,176.0,114,1.53125323503314,0.9463691249256954,"{'model__regressor__alpha': 0.0031622776601683794, 'model__regressor__gamma': 0.001}",0.0031622776601683794,0.001
leave_one_out,100.0,178.0,114,1.5371957257137792,0.9054673329228535,"{'model__regressor__alpha': 0.0031622776601683794, 'model__regressor__gamma': 0.001}",0.0031622776601683794,0.001
leave_one_out,101.0,181.0,114,1.5182044616256856,0.9234838749980554,"{'model__regressor__alpha': 0.01, 'model__regressor__gamma': 0.003}",0.01,0.003
leave_one_out,102.0,183.0,114,1.520766733688265,0.9105751249007881,"{'model__regressor__alpha': 0.0031622776601683794, 'model__regressor__gamma': 0.001}",0.0031622776601683794,0.001
leave_one_out,103.0,185.0,114,1.4958906810705486,0.8898182499688119,"{'model__regressor__alpha': 0.01, 'model__regressor__gamma': 0.003}",0.01,0.003
leave_one_out,104.0,186.0,114,1.4976863585440245,0.9021273339167237,"{'model__regressor__alpha': 0.0031622776601683794, 'model__regressor__gamma': 0.001}",0.0031622776601683794,0.001
leave_one_out,105.0,188.0,114,1.522248504991137,0.905622832942754,"{'model__regressor__alpha': 0.0031622776601683794, 'model__regressor__gamma': 0.001}",0.0031622776601683794,0.001
leave_one_out,106.0,190.0,114,1.5125853510059728,0.9042454159352928,"{'model__regressor__alpha': 0.03162277660168379, 'model__regressor__gamma': 0.003}",0.03162277660168379,0.003
leave_one_out,107.0,191.0,114,1.5200306031597823,0.9183295830152929,"{'model__regressor__alpha': 0.01, 'model__regressor__gamma': 0.003}",0.01,0.003
leave_one_out,108.0,192.0,114,1.5167457896647272,0.9121635410701856,"{'model__regressor__alpha': 0.01, 'model__regressor__gamma': 0.003}",0.01,0.003
leave_one_out,109.0,193.0,114,1.5144479980931749,0.9533522499259561,"{'model__regressor__alpha': 0.0031622776601683794, 'model__regressor__gamma': 0.001}",0.0031622776601683794,0.001
leave_one_out,110.0,195.0,114,1.516611684247314,0.9121127920225263,"{'model__regressor__alpha': 0.0031622776601683794, 'model__regressor__gamma': 0.001}",0.0031622776601683794,0.001
leave_one_out,111.0,198.0,114,1.5115560853108634,0.9066920420154929,"{'model__regressor__alpha': 0.0031622776601683794, 'model__regressor__gamma': 0.001}",0.0031622776601683794,0.001
leave_one_out,112.0,199.0,114,1.5036435782229158,0.8903953329427168,"{'model__regressor__alpha': 0.0031622776601683794, 'model__regressor__gamma': 0.001}",0.0031622776601683794,0.001
leave_one_out,113.0,200.0,114,1.513530420817637,0.8963049589656293,"{'model__regressor__alpha': 0.01, 'model__regressor__gamma': 0.003}",0.01,0.003
leave_one_out,114.0,201.0,114,1.5208768576145637,0.895855666953139,"{'model__regressor__alpha': 0.01, 'model__regressor__gamma': 0.003}",0.01,0.003
production,,,115,1.508595071337025,0.9056307499995455,"{'model__regressor__alpha': 0.001, 'model__regressor__gamma': 0.001}",0.001,0.001
